Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
001-003-00060,"Funda Zipper Transparente Pequena 5,5x7",uni,"  500,00 ",  -   ,"  300,00 ","  200,00 ",  -   ,"  400,00 ",  -   ,  -   ,"  400,00 ","  -200,00 ",SOBRANTE
001-003-00061,Funda Negra Kfc,uni,"  68,00 ",  -   ,  -   ,"  68,00 ",  -   ,"  70,00 ",  -   ,  -   ,"  70,00 ","  -2,00 ",SOBRANTE
001-003-00062,Funda Kraft 10 X 18,uni,  -   ,  -   ,  -   ,  -   ,  -   ,"  106,00 ",  -   ,  -   ,"  106,00 ","  -106,00 ",SOBRANTE
001-003-00063,Funda Kraft Matcha 13 X 21,uni,"  13,00 ",  -   ,  -   ,"  13,00 ",  -   ,"  12,00 ",  -   ,  -   ,"  12,00 ","  1,00 ",FALTANTE
001-003-00064,Funda Plateada 25x44,uni,"  215,00 ","  100,00 ","  100,00 ","  215,00 ",  -   ,"  100,00 ",  -   ,  -   ,"  100,00 ","  115,00 ",FALTANTE
001-003-00065,Funda Plateada 19x27,uni,"  600,00 ","  800,00 ","  1.015,00 ","  385,00 ",  -   ,"  400,00 ",  -   ,  -   ,"  400,00 ","  -15,00 ",SOBRANTE
001-003-00066,Funda Transparente 13x21,uni,"  154,00 ",  -   ,  -   ,"  154,00 ",  -   ,"  154,00 ",  -   ,  -   ,"  154,00 ",  -   ,SIN DIFERENCIA
001-003-00067,Funda Transparente 10x18,uni,"  294,00 ",  -   ,"  9,00 ","  285,00 ",  -   ,"  168,00 ",  -   ,  -   ,"  168,00 ","  117,00 ",FALTANTE
001-003-00068,Funda Tisana Frutos Rojos,uni,"  2.000,00 ",  -   ,"  500,00 ","  1.500,00 ",  -   ,"  1.500,00 ",  -   ,  -   ,"  1.500,00 ",  -   ,SIN DIFERENCIA
001-003-00069,Funda Tisana Naranja,uni,"  4.416,00 ",  -   ,"  1.000,00 ","  3.416,00 ",  -   ,"  3.416,00 ",  -   ,  -   ,"  3.416,00 ",  -   ,SIN DIFERENCIA
