Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
001-003-00105,Doypac Lemon Ginger,uni,"  1.000,00 ",  -   ,"  31,00 ","  969,00 ",  -   ,"  965,00 ",  -   ,  -   ,"  965,00 ","  4,00 ",FALTANTE
001-003-00106,Doypac Chamomile,uni,"  990,00 ",  -   ,"  26,00 ","  964,00 ",  -   ,"  1.771,00 ",  -   ,  -   ,"  1.771,00 ","  -807,00 ",SOBRANTE
001-003-00107,Doypac Berry Berry,uni,"  3.973,00 ",  -   ,"  275,00 ","  3.698,00 ",  -   ,"  2.637,00 ",  -   ,  -   ,"  2.637,00 ","  1.061,00 ",FALTANTE
001-003-00108,Funda Amarilla 50 Gr Matcha Culinario,uni,"  651,00 ",  -   ,"  299,00 ","  352,00 ",  -   ,"  398,00 ",  -   ,  -   ,"  398,00 ","  -46,00 ",SOBRANTE
001-003-00109,Funda Amarilla 50 Gr Pink Matcha,uni,"  5.795,00 ",  -   ,"  11,00 ","  5.784,00 ",  -   ,"  1.776,00 ",  -   ,  -   ,"  1.776,00 ","  4.008,00 ",FALTANTE
001-003-00110,Funda Amarilla 100 Gr Chai Latte Mix,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00111,Funda Amarilla 100 Gr Pink Lemonade,uni,"  17,00 ",  -   ,  -   ,"  17,00 ",  -   ,"  24,00 ",  -   ,  -   ,"  24,00 ","  -7,00 ",SOBRANTE
001-003-00112,Funda Amarilla 100 Gr Te Negro Y Limon,uni,"  1.271,00 ",  -   ,"  120,00 ","  1.151,00 ",  -   ,"  1.142,00 ",  -   ,  -   ,"  1.142,00 ","  9,00 ",FALTANTE
001-003-00113,Lata Para Matcha Colores  30gr,uni,"  200,00 ",  -   ,"  100,00 ","  100,00 ",  -   ,  -   ,"  120,00 ",  -   ,"  120,00 ","  -20,00 ",SOBRANTE
001-003-00114,Etiquetas Aromaticas Anis,uni,"  1.323,00 ",  -   ,"  4,00 ","  1.319,00 ",  -   ,"  1.382,00 ",  -   ,  -   ,"  1.382,00 ","  -63,00 ",SOBRANTE
001-003-00115,Etiquetas Aromaticas Cedron,uni,"  1.204,00 ",  -   ,"  14,00 ","  1.190,00 ",  -   ,"  386,00 ",  -   ,  -   ,"  386,00 ","  804,00 ",FALTANTE
001-003-00116,Etiquetas Aromaticas Flores De Manzanilla,uni,"  222,00 ",  -   ,  -   ,"  222,00 ",  -   ,"  218,00 ",  -   ,  -   ,"  218,00 ","  4,00 ",FALTANTE
001-003-00117,Etiquetas Aromaticas Guayusa,uni,"  1.417,00 ",  -   ,"  6,00 ","  1.411,00 ",  -   ,"  1.415,00 ",  -   ,  -   ,"  1.415,00 ","  -4,00 ",SOBRANTE
001-003-00118,Etiquetas Aromaticas Hierbabuena,uni,"  2.498,00 ",  -   ,"  5,00 ","  2.493,00 ",  -   ,"  441,00 ",  -   ,  -   ,"  441,00 ","  2.052,00 ",FALTANTE
001-003-00119,Etiquetas Aromaticas Hierbaluisa,uni,"  1.566,00 ",  -   ,"  5,00 ","  1.561,00 ",  -   ,"  686,00 ",  -   ,  -   ,"  686,00 ","  875,00 ",FALTANTE
001-003-00120,Etiquetas Aromaticas Manzanilla Y Miel,uni,"  1.125,00 ",  -   ,"  11,00 ","  1.114,00 ",  -   ,"  429,00 ",  -   ,  -   ,"  429,00 ","  685,00 ",FALTANTE
001-003-00121,Etiquetas Aromaticas Menta,uni,"  972,00 ",  -   ,"  22,00 ","  950,00 ",  -   ,"  246,00 ",  -   ,  -   ,"  246,00 ","  704,00 ",FALTANTE
001-003-00122,Etiquetas Aromaticas Toronjil,uni,"  1.272,00 ",  -   ,"  6,00 ","  1.266,00 ",  -   ,"  1.270,00 ",  -   ,  -   ,"  1.270,00 ","  -4,00 ",SOBRANTE
001-003-00123,Etiquetas Doypac Chamomille,uni,"  252,00 ",  -   ,"  6,00 ","  246,00 ",  -   ,"  223,00 ",  -   ,  -   ,"  223,00 ","  23,00 ",FALTANTE
001-003-00124,Etiquetas Doypac Earl Grey,uni,"  288,00 ",  -   ,  -   ,"  288,00 ",  -   ,"  176,00 ",  -   ,  -   ,"  176,00 ","  112,00 ",FALTANTE
001-003-00125,Etiquetas Doypac Green Tea,uni,"  211,00 ",  -   ,  -   ,"  211,00 ",  -   ,"  193,00 ",  -   ,  -   ,"  193,00 ","  18,00 ",FALTANTE
001-003-00126,Etiquetas Doypac Lemon Ginger,uni,"  883,00 ",  -   ,"  6,00 ","  877,00 ",  -   ,"  833,40 ",  -   ,  -   ,"  833,40 ","  43,60 ",FALTANTE
001-003-00127,Etiquetas Doypac Strawberry,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00128,Etiquetas Latas Atix Blend,uni,"  623,00 ",  -   ,  -   ,"  623,00 ",  -   ,"  622,00 ",  -   ,  -   ,"  622,00 ","  1,00 ",FALTANTE
001-003-00129,Etiquetas Latas Amarillas Delgada,uni,"  2.927,00 ",  -   ,"  463,00 ","  2.464,00 ",  -   ,"  2.410,00 ",  -   ,  -   ,"  2.410,00 ","  54,00 ",FALTANTE
001-003-00130,Etiquetas Latas Berry Berry Amarillas Delgada,uni,"  1.613,00 ",  -   ,"  399,00 ","  1.214,00 ",  -   ,"  1.216,00 ",  -   ,  -   ,"  1.216,00 ","  -2,00 ",SOBRANTE
001-003-00131,Etiquetas Latas Chamomille Amarilla Delgada,uni,"  2.572,00 ",  -   ,"  33,00 ","  2.539,00 ",  -   ,"  3.412,00 ",  -   ,  -   ,"  3.412,00 ","  -873,00 ",SOBRANTE
001-003-00132,Etiquetas Latas Cosmic Blend,uni,"  155,00 ",  -   ,"  23,00 ","  132,00 ",  -   ,"  2.940,00 ",  -   ,  -   ,"  2.940,00 ","  -2.808,00 ",SOBRANTE
001-003-00133,Etiquetas Latas Cyril Nuit The Noel,uni,"  145,00 ",  -   ,  -   ,"  145,00 ",  -   ,"  143,00 ",  -   ,  -   ,"  143,00 ","  2,00 ",FALTANTE
001-003-00134,Etiquetas Latas Earl Grey Amarilla Delgada,uni,"  346,00 ",  -   ,"  23,00 ","  323,00 ",  -   ,"  346,00 ",  -   ,  -   ,"  346,00 ","  -23,00 ",SOBRANTE
001-003-00136,Etiquetas Latas Holiday Blend 10 Anos,uni,"  48,00 ",  -   ,  -   ,"  48,00 ",  -   ,"  50,00 ",  -   ,  -   ,"  50,00 ","  -2,00 ",SOBRANTE
001-003-00137,Etiquetas Latas Infusion Tartelle Mandarine,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00138,Etiquetas Latas Infusion Infusion Coquelicot,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00139,Etiquetas Latas Infusion Mademoiselle,uni,"  12,00 ",  -   ,  -   ,"  12,00 ",  -   ,"  8,00 ",  -   ,  -   ,"  8,00 ","  4,00 ",FALTANTE
001-003-00140,Etiquetas Latas Infusion Miss Elissa,uni,"  75,00 ",  -   ,  -   ,"  75,00 ",  -   ,"  74,00 ",  -   ,  -   ,"  74,00 ","  1,00 ",FALTANTE
001-003-00141,Etiquetas Latas Infusion The Les Jardins De La Reine,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00142,Etiquetas Latas Infusion The Ophir,uni,"  16,00 ",  -   ,  -   ,"  16,00 ",  -   ,"  24,00 ",  -   ,  -   ,"  24,00 ","  -8,00 ",SOBRANTE
001-003-00143,Etiquetas Latas Infusion The Angel Y Demon,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00144,Etiquetas Latas Infusion The Au Coeur De Paris,uni,"  28,00 ",  -   ,  -   ,"  28,00 ",  -   ,"  28,00 ",  -   ,  -   ,"  28,00 ",  -   ,SIN DIFERENCIA
001-003-00145,Etiquetas Latas Infusion The Les Contrairies,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00146,Etiquetas Latas Legacy Blend 10 Anos,uni,"  2.653,00 ",  -   ,"  30,00 ","  2.623,00 ",  -   ,"  2.640,00 ",  -   ,  -   ,"  2.640,00 ","  -17,00 ",SOBRANTE
001-003-00147,Etiquetas Latas Lemon Ginger Amarilla Delgada,uni,"  2.634,00 ",  -   ,"  274,00 ","  2.360,00 ",  -   ,"  2.380,00 ",  -   ,  -   ,"  2.380,00 ","  -20,00 ",SOBRANTE
001-003-00148,Etiquetas Latas Natural Vitality,uni,"  1.644,00 ",  -   ,  -   ,"  1.644,00 ",  -   ,"  1.632,00 ",  -   ,  -   ,"  1.632,00 ","  12,00 ",FALTANTE
001-003-00149,Etiquetas Latas Strawberry Amarilla Delgada,uni,"  2.121,00 ",  -   ,"  30,00 ","  2.091,00 ",  -   ,"  2.101,00 ",  -   ,  -   ,"  2.101,00 ","  -10,00 ",SOBRANTE
001-003-00150,Etiquetas Latas Arquitectura Sostenible,uni,"  140,00 ",  -   ,  -   ,"  140,00 ",  -   ,"  140,00 ",  -   ,  -   ,"  140,00 ",  -   ,SIN DIFERENCIA
001-003-00151,Etiquetas Latas Menta Sandia,uni,"  364,00 ","  1.000,00 ","  242,00 ","  1.122,00 ",  -   ,"  1.100,00 ",  -   ,  -   ,"  1.100,00 ","  22,00 ",FALTANTE
001-003-00152,Frascos Pequenos Bubble Tea,uni,"  413,00 ",  -   ,  -   ,"  413,00 ",  -   ,  -   ,"  300,00 ",  -   ,"  300,00 ","  113,00 ",FALTANTE
001-003-00153,Cajas Fiorana,uni,"  170,00 ",  -   ,  -   ,"  170,00 ",  -   ,  -   ,"  170,00 ",  -   ,"  170,00 ",  -   ,SIN DIFERENCIA
001-003-00154,Mangas Calendario Amarilla,uni,"  44,00 ",  -   ,"  20,00 ","  24,00 ",  -   ,  -   ,"  24,00 ",  -   ,"  24,00 ",  -   ,SIN DIFERENCIA
001-003-00155,Mangas Calendario Colores,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  1,00 ",  -   ,"  1,00 ","  -1,00 ",SOBRANTE
001-003-00156,Fajillas Jamaica Berries,uni,"  15.200,00 ",  -   ,"  675,00 ","  14.525,00 ",  -   ,"  1.753,00 ",  -   ,  -   ,"  1.753,00 ","  12.772,00 ",FALTANTE
001-003-00157,Fajillas Lemon Black Tea,uni,"  9.427,00 ",  -   ,"  680,00 ","  8.747,00 ",  -   ,"  1.915,00 ",  -   ,  -   ,"  1.915,00 ","  6.832,00 ",FALTANTE
001-003-00158,Fajillas Lemon Ginger,uni,"  9.476,00 ",  -   ,"  680,00 ","  8.796,00 ",  -   ,"  1.440,00 ",  -   ,  -   ,"  1.440,00 ","  7.356,00 ",FALTANTE
001-003-00160,Fajillas Rooibos Mango,uni,"  1.128,00 ",  -   ,  -   ,"  1.128,00 ",  -   ,"  1.700,00 ",  -   ,  -   ,"  1.700,00 ","  -572,00 ",SOBRANTE
001-003-00161,Fajillas White Tea Rose,uni,"  385,00 ",  -   ,  -   ,"  385,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  385,00 ",FALTANTE
001-003-00162,Fajas,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00163,Cartones 178314 (71 Cajas Grandes),uni,"  215,00 ",  -   ,"  38,00 ","  177,00 ",  -   ,  -   ,"  143,00 ",  -   ,"  143,00 ","  34,00 ",FALTANTE
001-003-00164,Cartones 178314 (61),uni,"  137,00 ",  -   ,"  50,00 ","  87,00 ",  -   ,  -   ,"  91,00 ",  -   ,"  91,00 ","  -4,00 ",SOBRANTE
001-003-00165,Cartones 189771 (81 ),uni,"  459,00 ",  -   ,"  111,00 ","  348,00 ",  -   ,  -   ,"  347,00 ",  -   ,"  347,00 ","  1,00 ",FALTANTE
001-003-00166,Cartones 188399 (51 ),uni,"  221,00 ",  -   ,"  198,00 ","  23,00 ",  -   ,  -   ,"  14,00 ",  -   ,"  14,00 ","  9,00 ",FALTANTE
001-003-00167,Maquila Doypack Every Express,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00286,Funda Grande Cafe Chopping Bag,uni,"  1,00 ","  1.000,00 ","  62,00 ","  939,00 ",  -   ,"  1.137,00 ",  -   ,  -   ,"  1.137,00 ","  -198,00 ",SOBRANTE
001-003-00333,Lata Pequena Amarilla,uni,"  1.325,00 ",  -   ,"  50,00 ","  1.275,00 ",  -   ,  -   ,"  776,00 ",  -   ,"  776,00 ","  499,00 ",FALTANTE
001-003-00339,Inactivo,uni,"  1.661,00 ",  -   ,  -   ,"  1.661,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  1.661,00 ",FALTANTE
001-003-00340,Caja Para 4 Tubos Serigrafias,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00341,Caja 4 Unid Tapa Acrilica Logotipo,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00342,Mostrador De 6 Espacios Espaldar Y Logotipo,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00343,Tapa Lata Xl,uni,"  1.096,00 ","  2.788,00 ","  1.630,00 ","  2.254,00 ",  -   ,  -   ,"  2.828,00 ",  -   ,"  2.828,00 ","  -574,00 ",SOBRANTE
001-003-00365,Botellas De Jarabe 500ml,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00366,Rollo Impresora 1.5 X 1.5,uni,"  1.700,00 ",  -   ,  -   ,"  1.700,00 ",  -   ,"  1.700,00 ",  -   ,  -   ,"  1.700,00 ",  -   ,SIN DIFERENCIA
001-003-00367,Rollo Impresora 2x1,uni,"  1.028,00 ",  -   ,  -   ,"  1.028,00 ",  -   ,"  2.300,00 ",  -   ,  -   ,"  2.300,00 ","  -1.272,00 ",SOBRANTE
001-003-00368,Frasco Tapa Vidrio 350ml,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00369,Estuche Redondo 5x18,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00370,Etiqueta Navidad Tippytea 2025,uni,"  204,00 ",  -   ,"  178,00 ","  26,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  26,00 ",FALTANTE
001-003-00371,Caja De Madera 24 Unidades,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-004-00001,Botellas 1 Litro,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-005-00001,Tapas Embotellados,uni,"  1.370,00 ","  3.800,00 ",  -   ,"  5.170,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  5.170,00 ",FALTANTE
001-005-00002,Tapa Negra,uni,"  221,00 ",  -   ,"  100,00 ","  121,00 ",  -   ,  -   ,"  121,00 ",  -   ,"  121,00 ",  -   ,SIN DIFERENCIA
001-005-00004,Tapa Domo,uni,"  906,00 ",  -   ,  -   ,"  906,00 ",  -   ,  -   ,"  890,00 ",  -   ,"  890,00 ","  16,00 ",FALTANTE
001-014-00003,Botellas 300 Ml,uni,"  1.950,00 ","  4.400,00 ",  -   ,"  6.350,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  6.350,00 ",FALTANTE
001-014-00008,Faja Embotellados,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-014-00013,Vasos Termicos,uni,"  340,00 ",  -   ,"  155,00 ","  185,00 ",  -   ,  -   ,"  138,00 ",  -   ,"  138,00 ","  47,00 ",FALTANTE
001-014-00014,Vaso Pet Transparente,uni,"  461,00 ",  -   ,"  102,00 ","  359,00 ",  -   ,  -   ,"  317,00 ",  -   ,"  317,00 ","  42,00 ",FALTANTE
001-021-00002,Material Para Piramides,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-021-00003,Piramides Sachet Flower Kisses,uni,"  2,00 ",  -   ,  -   ,"  2,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  2,00 ",FALTANTE
001-021-00004,Pads Anis Fiorana,uni,"  82,00 ","  600,00 ","  600,00 ","  82,00 ",  -   ,  -   ,"  19,00 ",  -   ,"  19,00 ","  63,00 ",FALTANTE
001-021-00006,Piramides Cotoa 3gr,uni,"  31,00 ","  1.000,00 ","  1.000,00 ","  31,00 ",  -   ,  -   ,"  72,00 ","  15,00 ","  87,00 ","  -56,00 ",SOBRANTE
001-026-00006,Caja Regalo Influencers,uni,"  449,00 ",  -   ,"  12,00 ","  437,00 ",  -   ,  -   ,"  208,00 ",  -   ,"  208,00 ","  229,00 ",FALTANTE
002-003-00203,Inactivo,uni,"  4,00 ",  -   ,  -   ,"  4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  4,00 ",FALTANTE
002-014-00004,Inactivo,uni,"  5.205,00 ",  -   ,  -   ,"  5.205,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  5.205,00 ",FALTANTE
002-014-00005,Inactivo,uni,"  24.837,00 ",  -   ,  -   ,"  24.837,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  24.837,00 ",FALTANTE
002-014-00193,Inactivo,uni,"  1,00 ",  -   ,  -   ,"  1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  1,00 ",FALTANTE
002-019-00001,Inactivo,uni,"  -4.400,00 ",  -   ,  -   ,"  -4.400,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -4.400,00 ",SOBRANTE
003-001-00001,Matcha Culinario 50gr L,uni,"  3,00 ","  40,00 ","  43,00 ",  -   ,  -   ,  -   ,  -   ,"  1,00 ","  1,00 ","  -1,00 ",SOBRANTE
003-001-00002,Latita 10 Gr L,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00003,Body Detox Tea,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00004,Eva Green Balance Te Con Cbd,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00005,Eva Red Vitality Te Con Cbd,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00006,Eva Blue Focus Te Con Cbd,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00007,Red Vitality Pad,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00011,Pad 30gr Jamaica Berries,uni,  -   ,"  96,00 ","  72,00 ","  24,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  24,00 ",FALTANTE
003-001-00012,Pad 30gr Butterfly,uni,"  10,00 ","  36,00 ","  36,00 ","  10,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  10,00 ",FALTANTE
003-001-00013,Bubble Tea Mango 3.4kg,uni,  -   ,"  9,00 ","  1,00 ","  8,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  8,00 ",FALTANTE
003-001-00014,Bubble Tea Arandanos 3.4kg,uni,"  1,00 ","  4,00 ","  1,00 ","  4,00 ",  -   ,  -   ,"  6,00 ",  -   ,"  6,00 ","  -2,00 ",SOBRANTE
003-001-00015,Bubble Tea Cereza 3.4kg,uni,"  1,00 ","  511,00 ","  393,00 ","  119,00 ",  -   ,  -   ,"  137,00 ",  -   ,"  137,00 ","  -18,00 ",SOBRANTE
003-001-00016,Bubble Tea Sandia 3.4kg,uni,  -   ,"  1,00 ","  1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00018,Mix Blends (2gr) X 25 Unidades,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00019,Mix Aromaticas X 30 Unidades,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00020,Tizana Frutas Deshidrata Frutos Rojos Bolsitas 10gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00021,Tizana Frutas Desidratada Pina Bolsita 10gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00022,Tizana Frutas Deshidratada Naranja Bolsita 10gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00023,Blue Matcha 50g L,uni,  -   ,"  11,00 ","  11,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00024,Roasted 50g L,uni,  -   ,"  1,00 ","  1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00025,Tisana Frutos Rojos L,uni,"  138,00 ","  266,00 ","  310,00 ","  94,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  94,00 ",FALTANTE
003-001-00026,Tisana Naranja L,uni,"  23,00 ","  146,00 ","  163,00 ","  6,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  6,00 ",FALTANTE
003-001-00027,Tisana Pina L,uni,"  23,00 ","  1.751,00 ","  204,00 ","  1.570,00 ",  -   ,  -   ,"  46,00 ",  -   ,"  46,00 ","  1.524,00 ",FALTANTE
003-001-00028,Tisana Manzana L,uni,"  10,00 ","  136,00 ","  146,00 ",  -   ,  -   ,  -   ,"  19,00 ",  -   ,"  19,00 ","  -19,00 ",SOBRANTE
003-001-00029,Empacado De Pad 2gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00032,Caja Tea Collection L,uni,  -   ,"  28,00 ","  28,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00034,Maquila,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00035,Solubles Te Negro Y Limon 1kg,uni,"  150,00 ","  96.117,50 ","  96.267,50 ",  -   ,  -   ,  -   ,  -   ,"  1,00 ","  1,00 ","  -1,00 ",SOBRANTE
003-001-00037,Costo Por Insumo Blend Digestivo,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00039,Chai Latte Mix 100gr L,uni,"  20,00 ","  13,00 ","  25,00 ","  8,00 ",  -   ,  -   ,  -   ,"  2,00 ","  2,00 ","  6,00 ",FALTANTE
003-001-00040,Flor De Loto 35gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00045,Inactivo,uni,"  -30.000,00 ",  -   ,  -   ,"  -30.000,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -30.000,00 ",SOBRANTE
003-001-00046,Pink Limonade 100gr L,uni,"  17,00 ","  18,00 ","  57,00 ","  -22,00 ","  118,00 ","  1,00 ",  -   ,  -   ,"  119,00 ","  -141,00 ",SOBRANTE
003-001-00047,Cocoa Sabor A Cookies And Creams,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00048,Cocoa Sabor A Caramelo Salado,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00049,Cocoa Sabor A Nutella,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00050,Cocoa Sabor A Dulce De Leche,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00052,Bubble Tea Manzana Verde 3.4 Kg,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  4,00 ",  -   ,"  4,00 ","  -4,00 ",SOBRANTE
003-001-00053,Varios,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00055,Sacha Blends Wild Berry,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00056,Tippytea Limonada Rosa 100 G,uni,"  115,00 ","  8,33 ","  20,00 ","  103,33 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  103,33 ",FALTANTE
003-001-00057,Tippytea Te Negro Y Limon 100 G,uni,  -   ,"  7,83 ","  10,00 ","  -2,17 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -2,17 ",SOBRANTE
003-001-00058,Tippytea Chai Latte Mix 100 G,uni,  -   ,"  10,00 ","  20,00 ","  -10,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -10,00 ",SOBRANTE
003-001-00059,Soluble Pumpkin Spice Latte  100 G L,uni,  -   ,"  6,00 ","  6,00 ",  -   ,"  210,00 ",  -   ,  -   ,  -   ,"  210,00 ","  -210,00 ",SOBRANTE
003-001-00060,Lata Piramides Colada Morada,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00062,Funda Red Velvet 100 G,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00063,Red Velvet Latte 100g L,uni,  -   ,"  4,00 ","  4,00 ",  -   ,  -   ,  -   ,  -   ,"  1,00 ","  1,00 ","  -1,00 ",SOBRANTE
003-001-00064,Te Negro Y Limon 100 G L,uni,  -   ,"  7,00 ","  100,00 ","  -93,00 ","  2,76 ","  1,00 ",  -   ,  -   ,"  3,76 ","  -96,76 ",SOBRANTE
